date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:56	43030/43030	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202019%2015:10:58%20GMT	https://irtech.biz/TF/prolandix/brolandix/index.html	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/index.html	(from )
14:45:58	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Sep%202019%2009:16:00%20GMT	https://irtech.biz/robots.txt		(from )
14:46:01	1469/1469	---M--	200	added ('OK')	image/x-icon	date:Mon,%2011%20Mar%202019%2001:12:02%20GMT	https://irtech.biz/TF/prolandix/brolandix/favicon.ico	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/favicon.ico	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:04	144877/144877	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Dec%202018%2022:20:40%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/bootstrap.min.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/bootstrap.min.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:05	57476/57476	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Dec%202018%2022:20:40%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/fontawesome.min.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/fontawesome.min.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:06	2498/2498	---M--	200	added ('OK')	text/css	date:Mon,%2011%20Mar%202019%2001:07:28%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/flaticon.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/flaticon.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:09	75052/75052	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Dec%202018%2022:20:40%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/animate.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/animate.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:10	4903/4903	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Dec%202018%2022:20:40%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/owl.carousel.min.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/owl.carousel.min.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:12	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Dec%202018%2022:20:40%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/magnific-popup.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/magnific-popup.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:17	112801/112801	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Mar%202019%2015:15:06%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/style.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/style.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:18	22129/22129	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Mar%202019%2017:04:38%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/css/responsive.css	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/css/responsive.css	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:20	2126/2126	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Mar%202019%2016:53:22%20GMT	https://irtech.biz/TF/prolandix/brolandix/assets/img/logo.png	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/assets/img/logo.png	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
14:46:22	43024/43024	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Apr%202019%2015:10:53%20GMT	https://irtech.biz/TF/prolandix/brolandix/index-2.html	E:/Bhargav/templates/neelotpal3/irtech.biz/TF/prolandix/brolandix/index-2.html	(from https://irtech.biz/TF/prolandix/brolandix/index.html)
