date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:26	28555/28555	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Dec%202018%2023:41:16%20GMT	http://themazine.com/html/kabbo/index.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/index.html	(from )
14:53:27	390/390	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Sep%202019%2009:23:29%20GMT	http://themazine.com/robots.txt		(from )
14:53:27	1362/1362	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Nov%202018%2018:39:42%20GMT	http://themazine.com/html/kabbo/images/favicon.png	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/images/favicon.png	(from http://themazine.com/html/kabbo/index.html)
14:53:28	128589/128589	---M--	200	added ('OK')	text/css	date:Sun,%2016%20Dec%202018%2000:30:50%20GMT	http://themazine.com/html/kabbo/css/style.css	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/css/style.css	(from http://themazine.com/html/kabbo/index.html)
14:53:31	1999/1999	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Nov%202018%2018:31:28%20GMT	http://themazine.com/html/kabbo/images/logo.png	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/images/logo.png	(from http://themazine.com/html/kabbo/index.html)
14:53:31	30093/30093	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:06:06%20GMT	http://themazine.com/html/kabbo/index-2.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/index-2.html	(from http://themazine.com/html/kabbo/index.html)
14:53:31	22358/22358	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:14%20GMT	http://themazine.com/html/kabbo/about.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/about.html	(from http://themazine.com/html/kabbo/index.html)
14:53:32	14052/14052	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:06:02%20GMT	http://themazine.com/html/kabbo/portfolio.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/portfolio.html	(from http://themazine.com/html/kabbo/index.html)
14:53:32	15070/15070	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:56%20GMT	http://themazine.com/html/kabbo/portfolio-2.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/portfolio-2.html	(from http://themazine.com/html/kabbo/index.html)
14:53:33	17867/17867	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:50%20GMT	http://themazine.com/html/kabbo/portfolio-3.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/portfolio-3.html	(from http://themazine.com/html/kabbo/index.html)
14:53:33	17981/17981	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:46%20GMT	http://themazine.com/html/kabbo/portfolio-4.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/portfolio-4.html	(from http://themazine.com/html/kabbo/index.html)
14:53:34	19828/19828	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:40%20GMT	http://themazine.com/html/kabbo/portfolio-5.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/portfolio-5.html	(from http://themazine.com/html/kabbo/index.html)
14:53:34	13770/13770	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:36%20GMT	http://themazine.com/html/kabbo/portfolio-single.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/portfolio-single.html	(from http://themazine.com/html/kabbo/index.html)
14:53:35	15906/15906	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:32%20GMT	http://themazine.com/html/kabbo/portfolio-single-2.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/portfolio-single-2.html	(from http://themazine.com/html/kabbo/index.html)
14:53:35	15266/15266	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:24%20GMT	http://themazine.com/html/kabbo/services.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/services.html	(from http://themazine.com/html/kabbo/index.html)
14:53:35	14825/14825	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:18%20GMT	http://themazine.com/html/kabbo/services-single.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/services-single.html	(from http://themazine.com/html/kabbo/index.html)
14:53:36	27371/27371	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:05:28%20GMT	http://themazine.com/html/kabbo/pricing.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/pricing.html	(from http://themazine.com/html/kabbo/index.html)
14:53:36	20656/20656	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:03:50%20GMT	http://themazine.com/html/kabbo/shop.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/shop.html	(from http://themazine.com/html/kabbo/index.html)
14:53:37	22918/22918	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:03:44%20GMT	http://themazine.com/html/kabbo/shop-single.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/shop-single.html	(from http://themazine.com/html/kabbo/index.html)
14:53:37	8060/8060	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Dec%202018%2001:19:22%20GMT	http://themazine.com/html/kabbo/coming-soon.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/coming-soon.html	(from http://themazine.com/html/kabbo/index.html)
14:53:37	20756/20756	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Dec%202018%2018:47:52%20GMT	http://themazine.com/html/kabbo/blog.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/blog.html	(from http://themazine.com/html/kabbo/index.html)
14:53:38	24904/24904	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Dec%202018%2018:45:05%20GMT	http://themazine.com/html/kabbo/blog-single.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/blog-single.html	(from http://themazine.com/html/kabbo/index.html)
14:53:38	15623/15623	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Dec%202018%2000:04:30%20GMT	http://themazine.com/html/kabbo/contact.html	E:/Bhargav/templates/neelotpal4/themazine.com/html/kabbo/contact.html	(from http://themazine.com/html/kabbo/index.html)
