date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:17	46315/46315	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202019%2008:55:43%20GMT	https://iqonicthemes.com/themes/markethon/intro/index.html	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/index.html	(from )
14:37:17	323/323	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Sep%202019%2009:07:19%20GMT	https://iqonicthemes.com/robots.txt		(from )
14:37:17	5430/5430	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221536-5858536f34908%22	https://iqonicthemes.com/themes/markethon/intro/images/favicon.ico	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/images/favicon.ico	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
14:37:18	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-5858536f2cc08-gzip%22	https://iqonicthemes.com/themes/markethon/intro/css/bootstrap.min.css	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/css/bootstrap.min.css	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
14:37:18	29415/29415	---MCZ	200	added ('OK')	text/css	etag:W/%227451-5858536f471e8-gzip%22	https://iqonicthemes.com/themes/markethon/intro/revolution/css/settings.css	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/revolution/css/settings.css	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
14:37:18	9311/9311	---MCZ	200	added ('OK')	text/css	etag:W/%223897-5858536f2cc08-gzip%22	https://iqonicthemes.com/themes/markethon/intro/css/typography.css	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/css/typography.css	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
14:37:18	2998/2998	---MCZ	200	added ('OK')	text/css	etag:W/%22108a-5858536f2cc08-gzip%22	https://iqonicthemes.com/themes/markethon/intro/css/style.css	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/css/style.css	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
14:37:18	940/940	---MCZ	200	added ('OK')	text/css	etag:W/%22524-5858536f2cc08-gzip%22	https://iqonicthemes.com/themes/markethon/intro/css/responsive.css	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/css/responsive.css	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
14:37:19	124393/124393	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2024%20Sep%202019%2009:07:21%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/Bhargav/templates/neelotpal2/connect.facebook.net/en_US/fbevents.js	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
14:37:19	57762/57762	---M--	200	added ('OK')	image/gif	etag:%22e1a2-5858536f452a8%22	https://iqonicthemes.com/themes/markethon/intro/images/loader.gif	E:/Bhargav/templates/neelotpal2/iqonicthemes.com/themes/markethon/intro/images/loader.gif	(from https://iqonicthemes.com/themes/markethon/intro/index.html)
