date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:39	53725/53725	---M--	200	added ('OK')	text/html	etag:%22d1dd-5816e7c90e455%22	http://aazztech.com/demos/themes/html/tizara/dist/index4.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index4.html	(from )
12:44:39	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-572fa8e385440%22	http://aazztech.com/robots.txt		(from )
12:44:40	2770/2770	---M--	200	added ('OK')	image/png	etag:%22ad2-5816e83c53d08%22	http://aazztech.com/demos/themes/html/tizara/dist/img/favicon.png	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/favicon.png	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:41	2114/2114	---M--	200	added ('OK')	image/jpeg	etag:%22842-5816e83a5a32e%22	http://aazztech.com/demos/themes/html/tizara/dist/img/en.jpg	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/en.jpg	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:41	1513/1513	---M--	200	added ('OK')	image/jpeg	etag:%225e9-5816e83d34ab0%22	http://aazztech.com/demos/themes/html/tizara/dist/img/fr.jpg	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/fr.jpg	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:41	1888/1888	---M--	200	added ('OK')	image/jpeg	etag:%22760-5816e89d6532c%22	http://aazztech.com/demos/themes/html/tizara/dist/img/tr.jpg	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/tr.jpg	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:41	1912/1912	---M--	200	added ('OK')	image/jpeg	etag:%22778-5816e83b86faf%22	http://aazztech.com/demos/themes/html/tizara/dist/img/es.jpg	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/es.jpg	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:41	6667/6667	---M--	200	added ('OK')	image/png	etag:%221a0b-5816e84a5c1a3%22	http://aazztech.com/demos/themes/html/tizara/dist/img/logo.png	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/img/logo.png	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:42	53577/53577	---M--	200	added ('OK')	text/html	etag:%22d149-5816e7c460459%22	http://aazztech.com/demos/themes/html/tizara/dist/index.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:43	54091/54091	---M--	200	added ('OK')	text/html	etag:%22d34b-5816e7c7dbdfc%22	http://aazztech.com/demos/themes/html/tizara/dist/index2.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index2.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:47	93764/93764	---M--	200	added ('OK')	text/html	etag:%2216e44-5816e7c92ad5d%22	http://aazztech.com/demos/themes/html/tizara/dist/index3.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index3.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:47	65360/65360	---M--	200	added ('OK')	text/html	etag:%22ff50-5816e7ca4aebe%22	http://aazztech.com/demos/themes/html/tizara/dist/index5.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index5.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:48	78058/78058	---M--	200	added ('OK')	text/html	etag:%22130ea-5816e7ca5b85e%22	http://aazztech.com/demos/themes/html/tizara/dist/index6.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index6.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:50	48542/48542	---M--	200	added ('OK')	text/html	etag:%22bd9e-5816e7cb767b7%22	http://aazztech.com/demos/themes/html/tizara/dist/index7.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index7.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:51	86435/86435	---M--	200	added ('OK')	text/html	etag:%22151a3-5816e7cb8fdf7%22	http://aazztech.com/demos/themes/html/tizara/dist/index8.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index8.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:52	55147/55147	---M--	200	added ('OK')	text/html	etag:%22d76b-5816e7cc9b350%22	http://aazztech.com/demos/themes/html/tizara/dist/index9.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index9.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:54	42906/42906	---M--	200	added ('OK')	text/html	etag:%22a79a-5816e7c455879%22	http://aazztech.com/demos/themes/html/tizara/dist/index10.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index10.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:56	56407/56407	---M--	200	added ('OK')	text/html	etag:%22dc57-5816e7c580d8a%22	http://aazztech.com/demos/themes/html/tizara/dist/index11.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index11.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:57	46318/46318	---M--	200	added ('OK')	text/html	etag:%22b4ee-5816e7c5857c2%22	http://aazztech.com/demos/themes/html/tizara/dist/index12.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index12.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
12:44:58	57967/57967	---M--	200	added ('OK')	text/html	etag:%22e26f-5816e7c6b1c73%22	http://aazztech.com/demos/themes/html/tizara/dist/index13.html	E:/Bhargav/templates/nelootpal/aazztech.com/demos/themes/html/tizara/dist/index13.html	(from http://aazztech.com/demos/themes/html/tizara/dist/index4.html)
